Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,card_id,device_type,channel,corridor,merchant_category,account_age_days,device_change,corridor_new,n_clicks_session,session_duration_s,txn_gap_s,card_txn_rank,txn_count_1h,fraud_mode,Class
133288,0.817353,0.000262,0.276772,-1.17631,0.074129,0.777969,-1.118706,2.691106,-0.991641,-0.50416,-0.442991,0.679032,0.819131,-1.2855,0.235594,1.475896,0.758372,-0.410138,-0.281279,-0.242527,-0.383545,-0.364944,0.900933,-0.29023,-0.548946,-0.125519,0.368521,-1.394829,23.15,25485,web_desktop,web,US->IN,p2p_transfer,419,0,0,7,87.6,51751.0,3,1,none,0
126008,-0.213942,-0.19637,0.666645,-0.210647,0.903442,0.526906,-2.345227,-0.992356,-1.746852,1.296838,-1.484465,-0.258116,-0.228621,-0.262938,-0.571029,-0.068752,-0.972696,-1.11916,-0.954437,-0.108616,1.304094,-0.263501,-0.657341,0.066937,-0.953747,-1.019103,-0.697308,-2.400941,20.18,41467,android_app,app,CA->IN,cash_pickup,999,0,0,9,33.2,38316.0,8,1,none,0
146831,-0.732211,1.426491,-0.00458,-1.226984,0.331675,0.464983,0.217316,0.220331,-0.075067,-0.846536,-1.600142,-0.735212,-0.027474,0.4439,-0.275852,0.517617,-2.049081,-1.476639,-2.367944,-0.533705,-0.877851,-1.502965,-0.015026,-1.376305,0.76899,0.040943,-1.165976,0.934158,12.26,44949,android_app,app,CA->IN,p2p_transfer,692,0,0,7,51.1,16486.0,3,1,none,0
158333,-1.309252,1.171931,-1.547443,-0.701503,0.743414,1.440158,-0.256422,1.327697,-1.270494,0.096244,0.428438,-1.064275,-1.585487,-0.484638,-1.355668,-0.725196,-0.17516,0.777767,-0.846103,0.25378,0.687253,-0.372139,-0.735295,1.426237,-0.832388,0.902997,-0.946797,-1.12308,20.97,22263,web_mobile,web,US->IN,airtime_topup,447,0,0,10,63.1,38573.0,6,1,none,0
24074,1.164381,0.586387,-0.056419,0.576605,-0.976242,-0.880972,-0.128438,-0.510268,1.821373,-0.906459,-0.838229,0.590261,0.681492,1.135165,0.06309,0.89392,0.732412,0.195553,0.032787,0.050296,-1.193027,-0.556109,0.704595,0.211958,0.338885,-2.04768,-0.303347,1.860821,121.23,44536,android_app,web,US->PH,p2p_transfer,146,1,0,9,94.4,7622.0,2,1,none,0
141164,1.857605,0.894303,0.567356,1.105663,-1.803095,-0.681749,0.35485,1.651565,-1.00872,1.951402,-0.656535,-1.025694,-0.316512,0.581552,-0.301102,-0.700238,-2.309334,0.682515,-0.709333,1.371884,-0.907404,0.513507,0.039307,-2.090538,-1.363851,1.381985,2.115254,-1.087065,22.83,5772,web_desktop,web,CA->IN,airtime_topup,1268,0,0,5,88.1,53804.0,8,1,none,0
45080,-1.394206,-1.297013,-0.304756,0.296023,-1.221256,1.188952,0.457277,-0.502454,0.079964,-1.025189,-0.824286,1.166255,1.76814,2.008593,-0.326212,-0.469453,-1.181124,-0.423796,-1.910147,-0.402978,0.291624,1.059825,0.825395,0.079306,0.893101,0.504143,-0.026006,-1.294042,35.24,72,ios_app,app,CA->IN,airtime_topup,354,0,0,13,49.2,16013.0,2,1,none,0
151909,1.673992,0.922612,-0.827827,0.853625,0.369392,0.559173,1.578021,0.746868,1.059478,-0.709364,0.615982,-0.109198,-0.726873,0.91542,0.959829,-0.292754,0.392308,-0.619642,2.284871,-0.215663,-0.488715,-0.003857,0.509387,0.161512,-1.478776,-3.001881,-0.380006,0.848858,23.85,33746,web_mobile,web,US->MX,p2p_transfer,1161,0,0,9,108.3,1133.0,8,2,none,0
49939,-0.020964,-0.510903,0.385064,-0.276219,-1.589829,0.14425,-0.462944,0.765167,-0.771164,-0.964322,-0.810308,-2.971921,1.337067,-1.13806,-1.341481,-0.232744,1.268265,1.307399,-1.648471,-0.536471,0.397384,0.961536,-0.683427,-0.277063,-2.139252,0.448138,-0.850237,-0.344094,36.75,17965,android_app,app,UK->NG,bank_deposit,1489,0,0,10,71.2,20815.0,2,1,none,0
125902,-0.704344,0.650069,-0.987507,0.307366,-0.221153,1.130347,1.267557,1.122407,1.47803,1.004578,1.177075,-1.143387,-0.010052,2.233928,-0.209266,0.515264,0.384497,0.086007,0.384589,0.543705,0.639911,0.160155,0.194475,-1.164361,1.460561,-0.280968,-1.341411,2.180238,36.04,17650,android_app,app,UK->NG,bill_pay,193,0,0,10,29.6,11648.0,8,1,none,0
149571,-0.372957,-0.02453,-1.533729,-0.569101,0.557741,1.570514,1.499754,0.341851,0.623555,-0.514674,-1.375358,-0.415938,-0.191782,-1.163291,0.141754,-0.341842,0.025087,-0.834511,0.135289,-0.370555,-1.526533,-0.790817,1.431829,1.093441,-0.511317,1.82153,-2.000012,-0.843601,25.78,10704,ios_app,app,US->PH,cash_pickup,324,0,0,8,94.3,9468.0,9,1,none,0
95475,1.246561,0.230599,-0.823022,-0.185371,-0.901681,0.021572,0.059951,-0.431399,0.164473,0.30296,1.332231,-1.775654,-1.34796,0.095746,-1.084097,0.88051,-1.600089,1.499991,-1.307532,0.501787,-1.128025,1.055693,-0.775988,-0.843934,1.394079,-0.355794,0.331193,2.465218,34.28,38656,web_desktop,web,US->NG,p2p_transfer,518,0,0,7,40.9,5094.0,7,1,none,0
107009,0.022416,-0.564175,-0.548565,0.741073,-0.805456,-0.216789,-1.280348,0.204675,-0.998643,0.314002,0.183284,0.150391,0.109331,0.279262,-0.638561,-0.552715,-0.39182,-0.0388,0.916453,-0.380526,0.642922,0.596384,1.683424,1.326535,0.585388,0.381697,-0.997808,-0.222988,15.35,42401,ios_app,app,US->NG,airtime_topup,977,0,0,8,36.2,32570.0,6,1,none,0
161011,1.127219,1.133246,1.699365,0.310352,0.916947,-1.078379,-1.060769,0.195154,0.413736,-0.817501,0.060011,-0.376677,-0.369126,1.204758,0.37592,-0.969208,-0.05524,1.413937,-0.555402,-0.026663,1.006481,0.220878,0.762951,0.478861,0.530935,1.126464,1.082727,0.093665,13.54,8139,web_mobile,web,US->IN,bank_deposit,336,0,0,9,16.6,16255.0,12,1,none,0
170946,0.745073,1.093013,-0.482773,-1.765652,-0.497895,-0.93319,0.0408,-0.018135,-0.128407,-0.09288,0.34896,-0.869099,-0.988232,-0.276122,-0.710474,0.623,0.549486,1.588414,-0.438555,1.380403,-1.791698,0.309767,0.56948,-0.462084,-0.918375,0.913042,0.128846,0.133443,81.71,8866,web_desktop,web,AU->PH,p2p_transfer,1393,0,0,11,80.3,5693.0,6,1,none,0
8641,0.477682,-2.058647,0.552081,0.642734,0.98573,-0.295649,0.928931,-0.42518,1.289564,1.053758,1.241519,-0.272395,-2.195308,-1.803896,0.893939,0.828983,0.056445,-1.220293,1.574164,0.06854,0.561422,-1.446095,-1.690717,1.988821,0.763947,-0.681486,-0.6145,-1.479573,37.19,33433,ios_app,app,US->GT,p2p_transfer,1377,0,0,4,207.7,999999.0,1,1,none,0
153718,-0.589547,0.628182,-1.273469,-0.985716,-1.171327,-1.168741,1.348766,-0.208995,0.481602,-0.976914,-0.149176,0.543692,0.223051,-0.112138,1.484852,0.873195,0.207411,1.333325,-1.13445,-1.145169,0.23899,-0.943148,0.883301,0.487101,0.662848,0.434755,0.573623,-0.302749,46.24,39533,android_app,app,US->MX,p2p_transfer,648,0,0,12,127.9,2425.0,9,2,none,0
143664,-0.08245,1.0599,0.908934,0.520174,0.711784,0.238025,-1.695235,0.41139,0.071556,-1.754697,0.922156,0.111182,0.013216,0.738668,0.046064,-0.278013,-0.947531,0.279329,2.773858,-0.030815,1.274989,0.213643,0.390932,-0.761719,-0.999865,-0.106978,-0.825163,-1.273592,71.32,33604,ios_app,app,US->NG,airtime_topup,1030,0,0,10,26.2,39796.0,16,1,none,0
170191,-0.162656,1.378962,0.429121,0.754529,0.766776,-1.538212,0.283231,-2.075045,0.098578,-0.572799,0.314476,1.39461,-0.786047,-0.424558,-1.119919,-0.477747,0.054011,0.270657,1.72281,0.899937,-1.502588,-0.407388,0.918705,0.056145,1.297311,1.318306,0.597071,0.08794,5.94,37167,web_desktop,web,CA->IN,airtime_topup,402,0,0,6,85.8,34705.0,8,1,none,0
